title,url,source_type,source_name,published_date,category,sub_issue,gov_level,area_type,service_type,province,sentiment,sentiment_score,pain_points,demographics,has_abandonment_signal,has_bottleneck
"Pajak Toko Online Baru Berlaku 1 November, Telanjur Bayar Gimana Nasibnya?",https://finance.detik.com/berita-ekonomi-bisnis/d-8607694/pajak-toko-online-baru-berlaku-1-november-telanjur-bayar-gimana-nasibnya,news_site,detik.com,"Jumat, 07 Agu 2026 07:55 WIB",penerimaan_negara,penerimaan_pajak,pusat,umum,digital,Bali,positif,1.0,,,1,0
"79 Pemda Tak Mampu Bayar Gaji ASN, Pusat Siapkan Bantuan Rp 20,5 Triliun",https://www.detik.com/bali/berita/d-8607897/79-pemda-tak-mampu-bayar-gaji-asn-pusat-siapkan-bantuan-rp-20-5-triliun,news_site,detik.com,"Jumat, 07 Agu 2026 07:26 WIB",kesejahteraan,kesejahteraan_asn,daerah,umum,tidak_teridentifikasi,DKI Jakarta,negatif,-0.2,,,0,1
"10 Nama Dokter-Nakes Hina Pasien BPJS Masuk Radar KKI, Jumlah Masih Bisa Bertambah",https://health.detik.com/berita-detikhealth/d-8607848/10-nama-dokter-nakes-hina-pasien-bpjs-masuk-radar-kki-jumlah-masih-bisa-bertambah,news_site,detik.com,"Jumat, 07 Agu 2026 06:03 WIB",kesehatan,rs_berkualitas,daerah,umum,tidak_teridentifikasi,DKI Jakarta,negatif,-0.111,,ibu_anak,0,0
Mau Jadi Siswa Eligible SNBP? Siapkan Ini dari Sekarang!,https://www.detik.com/edu/seleksi-masuk-pt/d-8607426/mau-jadi-siswa-eligible-snbp-siapkan-ini-dari-sekarang,news_site,detik.com,"Jumat, 07 Agu 2026 06:00 WIB",pendidikan,sekolah_unggul,daerah,umum,tidak_teridentifikasi,,netral,0.0,,,0,0
"2 Hotel Bahrain Dihantam Rudal, Arab Saudi-Qatar Cegat Drone Iran",https://news.detik.com/bbc-world/d-8387237/2-hotel-bahrain-dihantam-rudal-arab-saudi-qatar-cegat-drone-iran,news_site,detik.com,"Jumat, 06 Mar 2026 14:07 WIB",kesehatan,rs_berkualitas,pusat,3T,tidak_teridentifikasi,Bali,positif,1.0,,lansia,0,0
Penyebab BPJS PBI Nonaktif dan Cara Reaktivasi Lengkap dengan Syaratnya,https://www.detik.com/kalimantan/berita/d-8343830/penyebab-bpjs-pbi-nonaktif-dan-cara-reaktivasi-lengkap-dengan-syaratnya,news_site,detik.com,"Jumat, 06 Feb 2026 20:59 WIB",kesehatan,bansos_adaptif,pusat,umum,digital,Bali,negatif,-0.5,,,0,0
"Istri Pejabat Pemkot Mataram Tergolong Sangat Miskin di Lombok Barat, Kok Bisa?",https://www.detik.com/bali/nusra/d-8519888/istri-pejabat-pemkot-mataram-tergolong-sangat-miskin-di-lombok-barat-kok-bisa,news_site,detik.com,"Jumat, 05 Jun 2026 20:36 WIB",kesejahteraan,bansos_adaptif,daerah,umum,digital,Nusa Tenggara Barat,positif,0.5,,,1,0
Telkomsel Perkuat Komitmen Bisnis Berkelanjutan di Hari Lingkungan Hidup,https://inet.detik.com/telecommunication/d-8519807/telkomsel-perkuat-komitmen-bisnis-berkelanjutan-di-hari-lingkungan-hidup,news_site,detik.com,"Jumat, 05 Jun 2026 19:47 WIB",infrastruktur,layanan_dasar_desa,daerah,umum,digital,Bali,positif,1.0,,,0,0
"Tak Perlu Panik Kalau Sertifikat Tanah Hilang, Begini Cara Urusnya",https://www.detik.com/properti/kepemilikan-rumah/d-8518879/tak-perlu-panik-kalau-sertifikat-tanah-hilang-begini-cara-urusnya,news_site,detik.com,"Jumat, 05 Jun 2026 10:48 WIB",penerimaan_negara,penerimaan_pajak,pusat,umum,umum,Bali,positif,0.333,,,0,0
Pemkab Badung Targetkan Bansos Galungan Rp 2 Juta Cair Sepekan Sebelum Hari-H,https://www.detik.com/bali/berita/d-8518831/pemkab-badung-targetkan-bansos-galungan-rp-2-juta-cair-sepekan-sebelum-hari-h,news_site,detik.com,"Jumat, 05 Jun 2026 10:11 WIB",kesejahteraan,bansos_adaptif,daerah,3T,tidak_teridentifikasi,,negatif,-0.111,Data Tidak Valid / Tidak Sinkron,disabilitas; ibu_anak,0,1
"Ketentuan Berpakaian Peserta Ujian SSE UM-PTKIN 2026, Cek Juga Materi Tesnya!",https://www.detik.com/edu/seleksi-masuk-pt/d-8518200/ketentuan-berpakaian-peserta-ujian-sse-um-ptkin-2026-cek-juga-materi-tesnya,news_site,detik.com,"Jumat, 05 Jun 2026 06:00 WIB",kesehatan,pemeriksaan_gratis,daerah,umum,tidak_teridentifikasi,,positif,1.0,,ibu_anak,0,0
